Timestamp,Layer,Event,Identifier,Size(Bytes),Details
2026-03-07 21:38:26.016,API,JobCreated,Job 00004,65536,"Printed"
2026-03-07 21:38:26.017,API,JobCreated,Job 00005,93,"Printed"
2026-03-07 21:38:26.018,API,JobCreated,Job 00006,95,"Printed"
2026-03-07 21:38:26.018,API,JobCreated,Job 00007,95,"Printed"
2026-03-07 21:38:26.019,API,JobCreated,Job 00008,95,"Printed"
2026-03-07 21:38:26.019,API,JobCreated,Job 00009,95,"Printed"
2026-03-07 21:38:26.020,API,JobCreated,Job 00010,95,"Printed"
2026-03-07 21:38:26.020,API,JobCreated,Job 00011,95,"Printed"
2026-03-07 21:38:26.021,API,JobCreated,Job 00012,95,"Printed"
2026-03-07 21:38:26.021,API,JobCreated,Job 00013,95,"Printed"
2026-03-07 21:38:26.022,API,JobCreated,Job 00014,95,"Printed"
2026-03-07 21:38:26.022,API,JobCreated,Job 00015,95,"Printed"
2026-03-07 21:38:26.023,API,JobCreated,Job 00016,95,"Printed"
2026-03-07 21:38:26.023,API,JobCreated,Job 00017,95,"Printed"
2026-03-07 21:38:26.024,API,JobCreated,Job 00018,95,"Printed"
2026-03-07 21:38:26.024,API,JobCreated,Job 00019,95,"Printed"
2026-03-07 21:38:26.025,API,JobCreated,Job 00020,194,"Printed"
2026-03-07 21:38:26.025,API,JobCreated,Job 00021,194,"Printed"
2026-03-07 21:38:26.026,API,JobCreated,Job 00022,194,"Printed"
2026-03-07 21:38:26.026,API,JobCreated,Job 00023,194,"Printed"
2026-03-07 21:38:26.026,API,JobCreated,Job 00024,194,"Printed"
2026-03-07 21:38:26.027,API,JobCreated,Job 00025,194,"Printed"
2026-03-07 21:39:23.920,API,JobCreated,Job 00026,0,"Spooling"
2026-03-07 21:39:23.924,FS,FileCreated,00026.SPL,0,"Observed in spool dir"
2026-03-07 21:39:23.927,FS,FileCopySuccess,00026.SPL,0,"Copied to 213923_925_00026.SPL"
2026-03-07 21:39:23.928,FS,FileCreated,00026.SHD,2096,"Observed in spool dir"
2026-03-07 21:39:23.929,FS,FileChanged,00026.SHD,2096,"Observed in spool dir"
2026-03-07 21:39:23.930,FS,FileDeleted,00026.SHD,2096,"Observed in spool dir"
2026-03-07 21:39:23.931,FS,FileCreated,00026.SHD,2096,"Observed in spool dir"
2026-03-07 21:39:23.931,FS,FileChanged,00026.SHD,2096,"Observed in spool dir"
